Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Assistant Director,EVIDENCE AND PROPERTY CONTROL,Competitive-1,Health,F,Experienced (non-manager),59049,75000,Annual
CONSUMER AND WORKER PROTECTION,Internal,1,Legal Staff Associate,CLERICAL ASSOCIATE,Competitive-1,Legal Affairs,F,Experienced (non-manager),40017,52242,Annual
CONSUMER AND WORKER PROTECTION,Internal,1,Staff Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,,Experienced (non-manager),71423,82137,Annual
LAW DEPARTMENT,Internal,3,"Assistant Corporation Counsel, Tort Division",ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),73579,111595,Annual
NYC EMPLOYEES RETIREMENT SYS,Internal,1,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation",,Experienced (non-manager),79471,102388,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,TEMP CONTRACT PROCUREMENT ANALYST,PROCUREMENT ANALYST,Competitive-1,"Administration & Human Resources Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),50972,58618,Annual
BRONX DISTRICT ATTORNEY,External,10,Homicide Counsel - Assistant District Attorney,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Manager,165000,167610,Annual
DEPT OF YOUTH & COMM DEV SRVS,External,1,Associate Contract Specialist,ASSOCIATE CONTRACT SPECIALIST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60193,90704,Annual
NYC HOUSING AUTHORITY,Internal,1,Program Associate,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
FINANCIAL INFO SVCS AGENCY,External,1,JOB ADMIN ANALYST,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),0,75000,Annual
DEPT OF YOUTH & COMM DEV SRVS,External,1,Deputy Director of Strategy and Integration,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,Customer Experience Specialist,CLERICAL ASSOCIATE,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),40017,62820,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,"Executive Director, Parking Planning, Policy & Program Management",ADMINISTRATIVE PROJECT MANAGER,Competitive-1,"Administration & Human Resources Policy, Research & Analysis",F,Manager,72038,192152,Annual
DEPARTMENT OF SANITATION,External,1,Grants and Policy Specialist,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),75504,94761,Annual
NYC HOUSING AUTHORITY,Internal,2,Project Manager,ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,"Engineering, Architecture, & Planning",F,Manager,105000,115000,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Associate Contract Specialist,ASSOCIATE CONTRACT SPECIALIST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60193,90704,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,2,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,52580,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,I/C Facilities Plans Reviewer,CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Risk Management Program (RMP) Compliance Coordinator,ASSOCIATE PUBLIC HEALTH SANITA,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),67335,77435,Annual
FIRE DEPARTMENT,External,1,Deputy Director of The Explosives & Entertainment Unit,ADMINISTRATIVE BLASTING INSPEC,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),58700,161534,Annual
DEPARTMENT OF CORRECTION,Internal,4,Licensed Barber,LICENSED BARBER (CORRECTION),Non-Competitive-5,Health,F,Entry-Level,35197,40477,Annual
HUMAN RIGHTS COMMISSION,External,2,AGENCY ATTORNEY I,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),63228,72712,Annual
DEPT. OF HOMELESS SERVICES,External,1,CRISIS COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,83981,Annual
DEPT OF YOUTH & COMM DEV SRVS,External,1,Associate Contract Specialist,ASSOCIATE CONTRACT SPECIALIST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60193,90704,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Unit Head  DCAS,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,103307,103307,Annual
DEPT OF PARKS & RECREATION,External,1,Project Development Coordinator for Historic Houses,COMMUNITY COORDINATOR,Non-Competitive-5,"Constituent Services & Community Programs Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance",F,Experienced (non-manager),54100,83981,Annual
DEPARTMENT FOR THE AGING,Internal,1,Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),70611,81203,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,"Deputy Director of Intake and Underwriting, Division of New Construction Finance",ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,Constituent Services & Community Programs,F,Manager,90000,100000,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,1,Asset Manager for the Division of Asset Management,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),74650,85847,Annual
NYC HOUSING AUTHORITY,Internal,1,Electrician,ELECTRICIAN,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),62.88,62.88,Hourly
NYC HOUSING AUTHORITY,External,1,Plumber's Helper,PLUMBER'S HELPER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),36.95,36.95,Hourly
HUMAN RIGHTS COMMISSION,Internal,1,"Director of Equal Employment Opportunity, Equity & Inclusion",EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,"Administration & Human Resources Legal Affairs Policy, Research & Analysis",F,Manager,95000,95000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Contract Administration Supervisor, Bureau of Mental Hygiene-Administration/Contracts and Finance",ASSOCIATE CONTRACT SPECIALIST,Competitive-1,"Finance, Accounting, & Procurement Health",F,Experienced (non-manager),60193,77000,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,ENGAGEMENT COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),54100,62215,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Deputy Director- Tort Division (Executive Agency Counsel),EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,115000,125000,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,1,Administrative Assistant the Division of Asset Management,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,62215,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Case Manager,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Child Care Associate, Bureau of Childcare",COMMUNITY ASSOCIATE,Non-Competitive-5,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),38333,44083,Annual
DEPARTMENT OF CORRECTION,External,3,Confidential Investigator,INVESTIGATOR (DISCIPLINE) (DOC,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Entry-Level,58167,58167,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Centralized Data Specialist,STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),62470,71840,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,1,"Assistant Engineer, Technical Services",ASSISTANT MECHANICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,65640,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Program Manager,CONTRACT SPECIALIST,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),51132,78966,Annual
LAW DEPARTMENT,External,1,Division Chief - E-Discovery Division,ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Manager,185019,185019,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,1,Case Manager for the Division of Tenant Resources,COMMUNITY ASSOCIATE,Non-Competitive-5,Constituent Services & Community Programs,F,Entry-Level,38333,44083,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,"Energy Budget, Billing,  and Rate Analyst",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Juvenile Justice Trainer,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPT OF PARKS & RECREATION,External,2,Brooklyn Capital Project Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,Building Operations & Maintenance,F,Experienced (non-manager),54100,83981,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Contracting Officer,STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),62470,71840,Annual
HRA/DEPT OF SOCIAL SERVICES,External,4,BOROUGH RELATIONS COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,70000,Annual
NYC HOUSING AUTHORITY,External,1,College Aide for LHD - Emergency Housing Voucher,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Administration & Human Resources,F,Student,15.5,19.9,Hourly
DEPT OF PARKS & RECREATION,Internal,1,Gardener II,GARDENER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),55806,64177,Annual
DEPT OF PARKS & RECREATION,Internal,1,Gardener II,GARDENER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),55806,64177,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,"Supervising Analyst Office of Technology and Innovation, Finance, Law, Mayoralty & Elected Officials",BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),83399,83399,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,BUDGET ANALYST,STAFF ANALYST,Competitive-1,"Policy, Research & Analysis Social Services",P,Experienced (non-manager),62470,76868,Annual
DEPARTMENT FOR THE AGING,External,1,"Director, Ombuds Office",ADMINISTRATIVE  PROGRAM OFFICE,Competitive-1,"Constituent Services & Community Programs Policy, Research & Analysis Social Services",F,Manager,110000,110000,Annual
POLICE DEPARTMENT,Internal,3,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Director of Strategy and Inclusion,EXECUTIVE ASSISTANT TO THE COM,Non-Competitive-5,"Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Experienced (non-manager),58700,161534,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,UNIT CLERK,CLERICAL ASSOCIATE,Competitive-1,Social Services,F,Experienced (non-manager),36390,41848,Annual
DEPARTMENT OF TRANSPORTATION,External,2,Agency Attorney 1,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),63228,96526,Annual
CONSUMER AND WORKER PROTECTION,External,1,Staff Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),71423,82137,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Data Analyst, Bureau of Veterinary and Pest Control Services",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Health Policy, Research & Analysis",,Experienced (non-manager),64140,64140,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,DIRECTOR OF REVENUE BUDGET,DIRECTOR OF INTERNAL AUDITING,Non-Competitive-5,"Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),64922,173486,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Staff Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),70611,105138,Annual
FINANCIAL INFO SVCS AGENCY,External,1,SENIOR PEOPLESOFT SYSTEMS ANALYST,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),105000,120000,Annual
DEPARTMENT OF CORRECTION,Internal,1,Senior BI Specialist,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),100000,140000,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Contract Unit Associate,CLERICAL ASSOCIATE,Competitive-1,Legal Affairs,F,Experienced (non-manager),36390,41848,Annual
DEPT. OF HOMELESS SERVICES,External,4,PEER COORDINATOR,COMMUNITY ASSISTANT,Non-Competitive-5,Constituent Services & Community Programs Social Services,P,Experienced (non-manager),15.5747,15.5747,Hourly
HRA/DEPT OF SOCIAL SERVICES,Internal,1,SENIOR DEVELOPER,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),85371,98177,Annual
DEPT OF PARKS & RECREATION,External,1,Field Technician Leader,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),80000,90000,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Associate Contract Specialist,ASSOCIATE CONTRACT SPECIALIST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60193,90704,Annual
DEPARTMENT OF BUSINESS SERV.,Internal,1,"Program Manager, Center Operations",COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,RECRUITER,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),58695,67499,Annual
TEACHERS RETIREMENT SYSTEM,Internal,1,Senior Microsoft Systems Engineer,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),98901,136951,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Project Manager III,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,DATA CENTER ASSOCIATE â SHIFT D,TELECOMMUNICATIONS ASSOCIATE (,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),43392,58918,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,IT Security Risk Analyst,CYBER SECURITY ANALYST,Competitive-1,"Health Technology, Data & Innovation",F,Experienced (non-manager),78795,110000,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst Parks,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,51550,73806,Annual
DEPARTMENT OF BUILDINGS,External,1,Deputy Press Secretary,COMMUNITY COORDINATOR,Non-Competitive-5,Communications & Intergovernmental Affairs,F,Experienced (non-manager),54100,62215,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,SENIOR BUILDING CUSTODIAN,CUSTODIAN,Competitive-1,Building Operations & Maintenance Social Services,F,Experienced (non-manager),51766,69187,Annual
FINANCIAL INFO SVCS AGENCY,External,1,ASSET MANAGEMENT COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Building Operations & Maintenance,F,Experienced (non-manager),15.5,19.3,Hourly
POLICE DEPARTMENT,Internal,1,Staff Analyst Level II,STAFF ANALYST,Competitive-1,"Administration & Human Resources Finance, Accounting, & Procurement",F,Experienced (non-manager),58152,74479,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Project Manager,TRANSPORTATION SPECIALIST,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,109409,Annual
DEPARTMENT OF CORRECTION,Internal,1,Auto Mechanic (Diesel),AUTO MECHANIC (DIESEL),Competitive-1,Building Operations & Maintenance,F,Entry-Level,37.28,43.4,Hourly
FINANCIAL INFO SVCS AGENCY,Internal,1,BUSINESS ANALYST,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),58700,95000,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Custodial Assistant (Part-Time),CITY CUSTODIAL ASSISTANT,Labor-3,Administration & Human Resources,P,Entry-Level,17.67,17.67,Hourly
DEPT OF ENVIRONMENT PROTECTION,Internal,2,CHIEF MARINE ENGINEER (DIESEL),CHIEF MARINE ENGINEER (DIESEL),Competitive-1,"Engineering, Architecture, & Planning",F,Manager,87792,87792,Annual
DEPARTMENT OF TRANSPORTATION,Internal,3,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,Competitive-1,"Administration & Human Resources Policy, Research & Analysis",F,Experienced (non-manager),57078,85646,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,12,NRU Clinical Outreach Coordinator,SPEC CONSULTANT (MHSS) (AL 2),Competitive-1,Constituent Services & Community Programs Health Social Services,F,Experienced (non-manager),71379,88000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,4,"Regional Nurse Supervisor, Bureau of Public Health Clinics",SUPERVISOR OF NURSES,Non-Competitive-5,Health,F,Experienced (non-manager),93733,93733,Annual
POLICE DEPARTMENT,Internal,3,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
DEPT OF DESIGN & CONSTRUCTION,Internal,2,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Engineering, Architecture, & Planning",F,Student,15.5,16.02,Hourly
LAW DEPARTMENT,External,2,"Assistant Corporation Counsel, Special Federal Litigation",ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),75121,133040,Annual
DEPARTMENT OF CITY PLANNING,Internal,1,RESEARCHER AND FOIL eDISCOVERY SPECIALIST,"LEGAL SECRETARIAL ASST- L2,3,4",Competitive-1,Legal Affairs,F,Experienced (non-manager),52123,60000,Annual
POLICE DEPARTMENT,Internal,1,"Evidence And Property Control Specialist, Level I",EVIDENCE AND PROPERTY CONTROL,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),51345,73495,Annual
